bucket,tv_symbol,signal_week,sig_ctl_pct,sig_body_frac,sig_range_pct,entry_date,entry,stop,risk_pct,ext_vs_sma,crs_rank,exit_date,exit_px,pct_move,R,mfe_pct,mae_pct,reason,weeks_held
LOSS_RANDOM,NSE:COFORGE,2019-01-25,6.12,0.63,8.84,2019-01-28,239.19,223.81,6.43,14.17,0.12,2019-08-05,219.34,-8.3,-1.29,4.99,-9.31,stop,27.0
LOSS_RANDOM,NSE:AXISBANK,2018-09-28,4.14,0.37,6.21,2018-10-01,611.78,584.68,4.43,10.81,0.09,2018-10-08,566.93,-7.33,-1.66,0.39,-11.22,stop,1.0
LOSS_RANDOM,NSE:MINDACORP,2025-01-17,13.46,0.75,17.44,2025-01-20,582.89,524.6,10.0,18.52,0.21,2025-02-17,517.72,-11.18,-1.12,2.34,-14.16,stop,4.0
LOSS_RANDOM,NSE:HDFCLIFE,2023-10-20,3.17,0.24,4.65,2023-10-23,631.83,613.66,2.88,9.72,0.05,2023-10-30,603.91,-4.42,-1.54,1.05,-5.84,stop,1.0
LOSS_RANDOM,NSE:MANPASAND,2017-12-22,20.21,0.36,30.39,2017-12-26,438.24,394.42,10.0,10.31,0.02,2018-02-05,363.54,-17.05,-1.7,13.39,-18.65,stop,5.9
LOSS_RANDOM,NSE:8KMILES,2018-02-09,22.12,0.61,34.0,2018-02-12,303.6,273.24,10.0,19.75,0.14,2018-03-26,271.2,-10.67,-1.07,14.16,-13.57,stop,6.0
LOSS_RANDOM,NSE:GHCL,2018-02-09,13.13,0.35,18.15,2018-02-12,247.18,222.46,10.0,19.9,0.15,2018-03-12,216.02,-12.61,-1.26,3.04,-17.12,stop,4.0
LOSS_RANDOM,NSE:DIVISLAB,2021-11-26,6.13,0.31,9.55,2021-11-29,4836.51,4514.55,6.66,13.52,0.06,2021-12-13,4423.0,-8.55,-1.28,0.49,-9.58,stop,2.0
LOSS_RANDOM,NSE:BALKRISIND,2023-09-15,7.44,0.6,8.26,2023-09-18,2487.05,2314.63,6.93,14.6,0.04,2024-02-12,2282.47,-8.23,-1.19,10.37,-9.44,stop,21.0
LOSS_RANDOM,NSE:ASAHIINDIA,2024-07-26,10.91,0.71,15.95,2024-07-29,690.24,621.22,10.0,18.88,0.04,2025-03-03,614.54,-10.97,-1.1,20.53,-14.73,stop,31.0
LOSS_RANDOM,NSE:GODREJAGRO,2024-11-14,5.63,0.13,6.68,2024-11-18,718.01,679.96,5.3,12.41,0.12,2025-05-05,651.35,-9.28,-1.75,11.5,-9.97,stop,24.0
LOSS_RANDOM,NSE:RUPA,2017-09-29,9.26,0.22,15.54,2017-10-03,391.42,352.28,10.0,16.96,0.08,2018-03-26,326.9,-16.48,-1.65,19.01,-18.28,stop,24.9
LOSS_RANDOM,NSE:TIMKEN,2020-03-13,24.73,0.23,37.2,2020-03-16,850.99,765.89,10.0,12.39,0.37,2020-03-30,696.0,-18.21,-1.82,3.19,-29.47,stop,2.0
LOSS_RANDOM,NSE:PHOENIXLTD,2018-06-29,6.84,0.58,7.89,2018-07-02,329.28,305.22,7.31,13.82,0.09,2018-08-27,298.83,-9.25,-1.27,2.12,-11.64,stop,8.0
LOSS_RANDOM,NSE:MAXHEALTH,2025-03-21,16.23,0.84,21.33,2025-03-24,1173.3,1055.97,10.0,19.43,0.21,2026-01-12,1012.0,-13.75,-1.38,12.02,-15.28,stop,42.0
LOSS_RANDOM,NSE:CYIENT,2018-09-28,6.04,0.77,7.68,2018-10-01,616.53,575.67,6.63,10.19,0.06,2018-10-15,542.78,-11.96,-1.8,4.01,-17.31,stop,2.0
LOSS_RANDOM,NSE:ASAHIINDIA,2026-01-23,6.72,0.03,9.89,2026-01-27,941.0,879.5,6.54,11.37,0.1,2026-03-09,800.0,-14.98,-2.29,8.71,-16.57,stop,5.9
LOSS_RANDOM,NSE:TANLA,2021-08-13,10.73,0.03,13.93,2021-08-16,857.28,771.56,10.0,19.32,0.01,2021-09-27,770.16,-10.16,-1.02,3.21,-14.24,stop,6.0
LOSS_RANDOM,NSE:HINDUNILVR,2021-08-20,8.66,0.91,9.92,2021-08-23,2406.95,2193.9,8.85,13.58,0.01,2021-11-29,2153.64,-10.52,-1.19,8.93,-12.43,stop,14.0
LOSS_RANDOM,NSE:BIRLACORPN,2020-03-06,5.84,0.02,11.1,2020-03-09,665.91,632.87,4.96,12.06,0.19,2020-03-16,550.97,-17.26,-3.48,0.25,-31.8,stop,1.0
LOSS_RANDOM,NSE:CUB,2024-10-25,12.16,0.53,15.18,2024-10-28,128.32,115.48,10.01,13.38,0.09,2025-02-24,111.75,-12.91,-1.29,8.8,-14.82,stop,17.0
LOSS_RANDOM,NSE:AEGISLOG,2024-12-20,9.38,0.43,14.3,2024-12-23,831.18,748.06,10.0,19.73,0.15,2025-01-27,662.96,-20.24,-2.02,23.45,-26.7,stop,5.0
LOSS_RANDOM,NSE:CANFINHOME,2024-09-13,10.01,0.54,13.57,2024-09-16,918.69,826.82,10.0,17.69,0.05,2024-11-18,798.02,-13.14,-1.31,0.87,-13.73,stop,9.0
LOSS_RANDOM,NSE:LTF,2026-05-29,4.92,0.83,6.2,2026-06-01,282.0,272.5,3.37,5.04,0.1,2026-06-08,264.1,-6.35,-1.88,1.22,-7.87,stop,1.0
LOSS_RANDOM,NSE:SHOPERSTOP,2023-07-28,8.39,0.04,10.02,2023-07-31,792.8,725.25,8.52,12.1,0.05,2023-08-28,713.0,-10.07,-1.18,12.07,-11.57,stop,4.0
LOSS_RANDOM,NSE:CRISIL,2025-06-20,8.0,0.77,10.09,2025-06-23,5519.54,5215.91,5.5,13.0,0.1,2025-08-04,5154.28,-6.62,-1.2,9.64,-8.23,stop,6.0
LOSS_RANDOM,NSE:ITDC,2020-02-14,11.05,0.44,21.75,2020-02-17,317.33,285.59,10.0,18.79,0.14,2020-03-02,234.58,-26.08,-2.61,-0.0,-31.36,stop,2.0
LOSS_RANDOM,NSE:PRAJIND,2022-09-02,9.92,0.76,14.46,2022-09-05,410.55,369.49,10.0,15.6,0.11,2022-12-12,361.25,-12.01,-1.2,8.89,-13.19,stop,14.0
LOSS_RANDOM,NSE:BAJAJHLDNG,2024-05-10,3.41,0.34,4.0,2024-05-13,8200.33,7920.43,3.41,9.05,0.03,2024-05-27,7781.59,-5.11,-1.5,0.75,-5.53,stop,2.0
LOSS_RANDOM,NSE:GODFRYPHLP,2025-02-14,19.4,0.5,24.07,2025-02-17,1928.62,1735.76,10.0,14.19,0.19,2025-03-03,1714.33,-11.11,-1.11,32.34,-15.34,stop,2.0
